slug,title,issue,link_text,href,normalized_href,link_type
best-surfers-in-the-world,Who Are The Best Surfers In The World In 2025?,MISSING_IN_SANITY,2024 Paris Olympics,https://www.rapturecamps.com/surfing-at-the-2024-paris-olympics/,/surfing-at-the-2024-paris-olympics,internal
best-surfers-in-the-world,Who Are The Best Surfers In The World In 2025?,MISSING_IN_SANITY,world’s best surfers,https://www.rapturecamps.com/5-best-surfers/,/5-best-surfers,internal
best-surfers-in-the-world,Who Are The Best Surfers In The World In 2025?,EXTRA_IN_SANITY,2024 Paris Olympics,/blog/surfing-at-the-2024-paris-olympics,/blog/surfing-at-the-2024-paris-olympics,internal
best-surfers-in-the-world,Who Are The Best Surfers In The World In 2025?,EXTRA_IN_SANITY,world’s best surfers,/blog/5-best-surfers,/blog/5-best-surfers,internal
best-things-to-do-in-ericeira,"15 amazing things to do in Ericeira, Portugal",MISSING_IN_SANITY,Coxos,https://www.rapturecamps.com/surfcamp/portugal/ericeira-coxos-surf-villa/rooms/,/surfcamp/portugal/ericeira-coxos-surf-villa/rooms,internal
best-things-to-do-in-ericeira,"15 amazing things to do in Ericeira, Portugal",MISSING_IN_SANITY,surf school,https://rapturecamps.com/surfcamp/portugal/ericeira-lizandro/surf,/surfcamp/portugal/ericeira-lizandro/surf,internal
best-things-to-do-in-ericeira,"15 amazing things to do in Ericeira, Portugal",MISSING_IN_SANITY,bacalhau,https://www.rapturecamps.com/de/surfcamp/portugal/alentejo-milfontes/food/bacalhau-a-bras-kabeljau/,/de/surfcamp/portugal/alentejo-milfontes/food/bacalhau-a-bras-kabeljau,internal
best-things-to-do-in-ericeira,"15 amazing things to do in Ericeira, Portugal",EXTRA_IN_SANITY,Coxos,/surfcamp/portugal/ericeira-coxos-surf-villa,/surfcamp/portugal/ericeira-coxos-surf-villa,internal
best-things-to-do-in-ericeira,"15 amazing things to do in Ericeira, Portugal",EXTRA_IN_SANITY,bacalhau,/de/surfcamp/portugal/alentejo-milfontes,/de/surfcamp/portugal/alentejo-milfontes,internal
bingin-beach,"Bingin Beach, Bali: A Surfer’s Dream Playground",MISSING_IN_SANITY,Surf Video Bali,https://www.youtube.com/@SurfVideoBali,https://www.youtube.com/@surfvideobali,external
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,MISSING_IN_SANITY,surfing brings people together,https://www.rapturecamps.com/10-things-playa-avellanas-costa-rica/,/10-things-playa-avellanas-costa-rica,internal
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,MISSING_IN_SANITY,develop a much better technique and style,https://www.rapturecamps.com/6-of-the-best-tips-for-beginner-surfers/,/6-of-the-best-tips-for-beginner-surfers,internal
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,MISSING_IN_SANITY,our incredible destinations,https://www.rapturecamps.com/portugal-surfcamp/,/portugal-surfcamp,internal
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,MISSING_IN_SANITY,Costa Rica,https://www.rapturecamps.com/costa-rica-surfcamp/,/costa-rica-surfcamp,internal
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,MISSING_IN_SANITY,learning to surf,https://www.rapturecamps.com/should-i-book-a-surf-camp-or-a-surf-school/,/should-i-book-a-surf-camp-or-a-surf-school,internal
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,EXTRA_IN_SANITY,surfing brings people together,/blog/10-things-to-do-playa-avellanas-costa-rica,/blog/10-things-to-do-playa-avellanas-costa-rica,internal
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,EXTRA_IN_SANITY,develop a much better technique and style,/blog/6-of-the-best-tips-for-beginner-surfers,/blog/6-of-the-best-tips-for-beginner-surfers,internal
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,EXTRA_IN_SANITY,our incredible destinations,/surfcamp/portugal,/surfcamp/portugal,internal
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,EXTRA_IN_SANITY,Costa Rica,/surfcamp/costa-rica,/surfcamp/costa-rica,internal
book-surf-camp,7 Reasons why booking a surf camp will be the best thing you ever do,EXTRA_IN_SANITY,learning to surf,/blog/should-i-book-a-surf-camp-or-a-surf-school,/blog/should-i-book-a-surf-camp-or-a-surf-school,internal
catch-the-perfect-wave-a-surfers-handbook-to-canggu,Catch The Perfect Wave: A Surfer’s Handbook To Canggu,MISSING_IN_SANITY,surf culture in Canggu,https://www.rapturecamps.com/surfcamp/bali/canggu/,/surfcamp/bali/canggu,internal
catch-the-perfect-wave-a-surfers-handbook-to-canggu,Catch The Perfect Wave: A Surfer’s Handbook To Canggu,MISSING_IN_SANITY,Rapturecamp’s surfcamp,https://www.rapturecamps.com/surfcamp/bali/canggu/surf/,/surfcamp/bali/canggu/surf,internal
catch-the-perfect-wave-a-surfers-handbook-to-canggu,Catch The Perfect Wave: A Surfer’s Handbook To Canggu,EXTRA_IN_SANITY,surf culture in Canggu,/surfcamp/bali,/surfcamp/bali,internal
catch-the-perfect-wave-a-surfers-handbook-to-canggu,Catch The Perfect Wave: A Surfer’s Handbook To Canggu,EXTRA_IN_SANITY,Rapturecamp’s surfcamp,/surfcamp/bali,/surfcamp/bali,internal
co-living-ericeira-villa,"Co-Living Ericeira, Portugal",MISSING_IN_SANITY,contact us,https://www.rapturecamps.com/de/kontakt/,/de/kontakt,internal
co-living-ericeira-villa,"Co-Living Ericeira, Portugal",EXTRA_IN_SANITY,contact us,/contact,/contact,internal
common-surfing-injuries,Common Surfing Injuries And How To Prevent Them,MISSING_IN_SANITY,3 yoga poses to try before surfing,https://www.rapturecamps.com/3-yoga-poses-before-surfing/,/3-yoga-poses-before-surfing,internal
